config,phase,run,repetition,kpi,mean,std,median,p5,p25,p75,p95,min,max,n_samples
RTP_Drift,Drift,RTP_Drift-3-20260415-18:36:41-3432,0,cqi,14.753522217061464,0.4314386932858212,15.0,14.0,15.0,15.0,15.0,13.0,15.0,19377
RTP_Drift,Drift,RTP_Drift-4-20260415-18:37:02-14032,0,cqi,14.43715298682186,0.49657366602309916,14.0,14.0,14.0,15.0,15.0,13.0,15.0,14949
RTP_Drift,Drift,RTP_Drift-0-20260415-18:35:51-4740,0,throughput,5557.460082692133,1788.4460515104436,6451.0167093327,952.2314442199915,5537.06270159225,6453.977579351025,6472.3183391003,4.4340563022033,18428.571428571,14950
RTP_Drift,Drift,RTP_Drift-1-20260415-18:36:08-16500,0,throughput,5912.369068694598,1454.8153972395614,6451.1258509338,1792.3183271842252,6448.5881578979,6453.303457178476,6466.829767052875,5.3555860007473,12900.0,14946
RTP_Drift,Drift,RTP_Drift-2-20260415-18:36:23-15340,0,throughput,5695.317656578549,1863.1889163579372,6450.0,844.5481808800031,6447.3791141812,6452.7575887131,6463.7526652452,5.3555860007473,12900.0,14950
RTP_Drift,Drift,RTP_Drift-3-20260415-18:36:41-3432,0,throughput,5866.522278864667,1632.636354301671,6449.77055242375,611.1029562320961,6445.6949261171,6453.471475039076,6468.003411153,4.4349709492213,18428.571428571,14950
RTP_Drift,Drift,RTP_Drift-4-20260415-18:37:02-14032,0,throughput,5693.502095390053,1887.3907944201403,6451.50472464575,608.8411451321876,6448.0752014324,6456.2944374739,6481.441671822215,4.5928721472567,18428.571428571,14950
RTP_Drift,Drift,RTP_Drift-0-20260415-18:35:51-4740,0,delay,0.005124176811913713,0.002842957793300444,0.004768940915,0.00432251059,0.00447763075,0.004898450017,0.01032251059,0.00432251059,0.091827962249,14950
RTP_Drift,Drift,RTP_Drift-1-20260415-18:36:08-16500,0,delay,0.005884161484210825,0.003177969047451453,0.004712316525,0.00407671192,0.004200945355,0.004966118734,0.010828001625,0.00407671192,0.081200945355,14946
RTP_Drift,Drift,RTP_Drift-2-20260415-18:36:23-15340,0,delay,0.004919177942991974,0.002387796363078391,0.004552383491,0.004106929305,0.00426126209,0.004784649434,0.004961909515,0.004106929305,0.079418895175,14950
RTP_Drift,Drift,RTP_Drift-3-20260415-18:36:41-3432,0,delay,0.006395829642917058,0.0037757557710031736,0.004684124861,0.0042777996,0.004342363678,0.010066745092,0.010964945951,0.004066745092,0.075753427469,14950
RTP_Drift,Drift,RTP_Drift-4-20260415-18:37:02-14032,0,delay,0.004514030646916387,0.002300170069972072,0.004472987689,0.004016916972,0.004163306723,0.004673835921,0.004694574026,0.004016916972,0.086694574026,14950
RTP_Drift,Drift,RTP_Drift-0-20260415-18:35:51-4740,0,handover,0.9666666666666667,0.7951240294584375,1.0,0.0,0.0,2.0,2.0,0.0,2.0,30
