seed,check_interval,ddd_precision,ddd_recall,ddd_latency,dpd_precision,dpd_recall,dpd_latency,cdd_precision,cdd_recall,cdd_latency,cpd_precision,cpd_recall,cpd_latency,stable_accuracy,drift_accuracy,recovery_accuracy,ndt_pseudo_mean,ndt_gt_mean,atm_deployments,total_mtout,total_security
0,25,0.6,1.0,23,0.5,1.0,23,0.9,0.75,98,0.5,1.0,23.0,0.9476309226932669,0.605,0.8040201005025126,0.99875,0.64625,4,4,20
1,25,0.5555555555555556,0.8333333333333334,73,0.5714285714285714,1.0,23,0.9,0.75,98,0.5714285714285714,1.0,23.0,0.9675810473815462,0.56,0.8291457286432161,1.0,0.59,3,3,20
2,25,0.5789473684210527,0.9166666666666666,48,0.3333333333333333,1.0,23,0.8888888888888888,0.6666666666666666,123,0.5,1.0,23.0,0.942643391521197,0.63,0.8291457286432161,0.9933333333333333,0.7766666666666667,6,6,26
3,25,0.5789473684210527,0.9166666666666666,48,0.5,1.0,23,0.9,0.75,98,0.5714285714285714,1.0,23.0,0.9451371571072319,0.63,0.8090452261306532,1.0,0.67,4,4,22
4,25,0.6,1.0,23,0.36363636363636365,1.0,23,0.8888888888888888,0.6666666666666666,123,0.5,1.0,23.0,0.940149625935162,0.62,0.7939698492462312,1.0,0.625,4,4,27
5,25,0.5789473684210527,0.9166666666666666,48,0.5714285714285714,1.0,23,0.8181818181818182,0.75,98,0.5,1.0,23.0,0.9326683291770573,0.565,0.7839195979899497,0.9975,0.6475,4,4,20
6,25,0.5555555555555556,0.8333333333333334,73,0.4444444444444444,1.0,23,0.9,0.75,98,0.5,1.0,23.0,0.9451371571072319,0.6,0.8090452261306532,0.99875,0.65875,4,4,26
7,25,0.5789473684210527,0.9166666666666666,48,0.4,1.0,23,0.9090909090909091,0.8333333333333334,73,0.5,1.0,23.0,0.9576059850374065,0.58,0.7939698492462312,1.0,0.645,4,4,24
8,25,0.5789473684210527,0.9166666666666666,48,0.5,1.0,23,0.9090909090909091,0.8333333333333334,73,0.6,0.75,48.0,0.9376558603491272,0.57,0.8291457286432161,0.9975,0.6599999999999999,4,4,18
9,25,0.5789473684210527,0.9166666666666666,48,0.5714285714285714,1.0,23,0.9,0.75,98,0.5,1.0,23.0,0.942643391521197,0.63,0.8040201005025126,0.99875,0.6575,4,4,19
10,25,0.5555555555555556,0.8333333333333334,73,0.5,1.0,23,0.9,0.75,98,0.5714285714285714,1.0,23.0,0.9251870324189526,0.595,0.8190954773869347,1.0,0.5766666666666667,3,3,18
11,25,0.6,1.0,23,0.5714285714285714,1.0,23,0.8888888888888888,0.6666666666666666,123,0.0,0.0,,0.942643391521197,0.6,0.7889447236180904,0.99875,0.645,4,4,12
12,25,0.5789473684210527,0.9166666666666666,48,0.5714285714285714,1.0,23,0.9,0.75,98,0.5,1.0,23.0,0.9251870324189526,0.575,0.7638190954773869,1.0,0.6412500000000001,4,4,19
13,25,0.5789473684210527,0.9166666666666666,48,0.5714285714285714,1.0,23,0.8181818181818182,0.75,98,0.5,0.75,48.0,0.9576059850374065,0.615,0.7939698492462312,0.9975,0.665,4,4,18
14,25,0.5789473684210527,0.9166666666666666,48,0.5714285714285714,1.0,23,1.0,0.8333333333333334,73,0.5,1.0,23.0,0.942643391521197,0.575,0.8291457286432161,1.0,0.6599999999999999,4,4,21
15,25,0.6,1.0,23,0.5714285714285714,1.0,23,0.8888888888888888,0.6666666666666666,123,0.5,1.0,23.0,0.9251870324189526,0.62,0.7889447236180904,0.99875,0.635,4,4,20
16,25,0.5789473684210527,0.9166666666666666,48,0.4,1.0,23,0.9090909090909091,0.8333333333333334,73,0.5,1.0,23.0,0.9351620947630923,0.565,0.8492462311557789,0.99625,0.65,4,4,28
17,25,0.6,1.0,23,0.5714285714285714,1.0,23,0.9090909090909091,0.8333333333333334,73,0.5,1.0,23.0,0.9526184538653366,0.63,0.8090452261306532,1.0,0.6675,4,4,20
18,25,0.6,1.0,23,0.5714285714285714,1.0,23,0.9,0.75,98,0.5714285714285714,1.0,23.0,0.9326683291770573,0.6,0.8391959798994975,0.9975,0.6575,4,4,19
19,25,0.5789473684210527,0.9166666666666666,48,0.5,1.0,23,0.8333333333333334,0.8333333333333334,73,0.5,1.0,23.0,0.9600997506234414,0.575,0.8341708542713567,1.0,0.6537499999999999,4,4,22
20,25,0.5555555555555556,0.8333333333333334,73,0.5,1.0,23,0.75,0.75,98,0.5714285714285714,1.0,23.0,0.9451371571072319,0.565,0.7788944723618091,1.0,0.5733333333333334,3,3,21
21,25,0.5789473684210527,0.9166666666666666,48,0.3333333333333333,1.0,23,0.8888888888888888,0.6666666666666666,123,0.6666666666666666,1.0,23.0,0.9650872817955112,0.605,0.8241206030150754,1.0,0.6687500000000001,4,4,26
22,25,0.5789473684210527,0.9166666666666666,48,0.5,1.0,23,0.9090909090909091,0.8333333333333334,73,0.5714285714285714,1.0,23.0,0.9526184538653366,0.57,0.8542713567839196,0.99875,0.655,4,4,20
23,25,0.5789473684210527,0.9166666666666666,48,0.5714285714285714,1.0,23,0.8333333333333334,0.8333333333333334,73,0.6666666666666666,1.0,23.0,0.9326683291770573,0.525,0.8542713567839196,1.0,0.6475,4,4,20
24,25,0.5555555555555556,0.8333333333333334,73,0.4,1.0,23,0.9090909090909091,0.8333333333333334,73,0.5714285714285714,1.0,23.0,0.9276807980049875,0.555,0.8542713567839196,0.99625,0.645,4,4,25
25,25,0.5555555555555556,0.8333333333333334,73,0.5,1.0,23,0.9,0.75,98,0.5714285714285714,1.0,23.0,0.9551122194513716,0.61,0.8291457286432161,1.0,0.6066666666666667,3,3,19
26,25,0.5555555555555556,0.8333333333333334,73,0.3076923076923077,1.0,23,0.9,0.75,98,0.5714285714285714,1.0,23.0,0.9501246882793017,0.58,0.7788944723618091,0.9975,0.6125,4,4,28
27,25,0.6,1.0,23,0.5714285714285714,1.0,23,0.9090909090909091,0.8333333333333334,73,0.5,1.0,23.0,0.9650872817955112,0.56,0.7738693467336684,1.0,0.6225,4,4,25
28,25,0.5789473684210527,0.9166666666666666,48,0.4444444444444444,1.0,23,0.9,0.75,98,0.5,1.0,23.0,0.9675810473815462,0.64,0.7336683417085427,1.0,0.6512500000000001,4,4,22
29,25,0.5555555555555556,0.8333333333333334,73,0.4444444444444444,1.0,23,0.9,0.75,98,0.5,1.0,23.0,0.9551122194513716,0.575,0.8140703517587939,0.99875,0.65875,4,4,26
0,50,0.6,1.0,48,0.5,1.0,48,1.0,0.8333333333333334,98,0.5,1.0,48.0,0.9476309226932669,0.605,0.8040201005025126,0.99875,0.655,4,4,10
1,50,0.5555555555555556,0.8333333333333334,98,0.6666666666666666,1.0,48,0.7142857142857143,0.8333333333333334,98,0.6666666666666666,1.0,48.0,0.9675810473815462,0.56,0.8291457286432161,1.0,0.5433333333333333,3,3,10
2,50,0.6,1.0,48,0.4,1.0,48,1.0,0.6666666666666666,148,0.5,1.0,48.0,0.942643391521197,0.63,0.8291457286432161,0.994,0.733,5,5,13
3,50,0.6,1.0,48,0.5,1.0,48,1.0,0.8333333333333334,98,0.6666666666666666,1.0,48.0,0.9451371571072319,0.63,0.8090452261306532,1.0,0.67,4,4,11
